hs_company_id,company,city,state
54997023137,A Noble Counseling,Boulder,Colorado
54997054041,6S Christian Counseling and Equine Assisted Therapy,Sunset,Texas
54997508255,20/15 Vision Center,Houston,Texas
54997710349,164 Recovery Center,Dallas,Texas
54998095985,About the Journey Counseling,Greater Seattle Area,
54998120096,A-Care Chiropractic & Acupuncture,Richardson,Texas
54998165505,Abadie Integrative Therapy,Galveston,Texas
54998245164,A Healing Path Counseling & Consulting,Sugar Land,Texas
54998622577,Accountable Bookkeeping Consultants,Lavon,Texas
54998648504,A Better Life Counseling Center,Dallas,Texas
54998659394,Accountable Bookkeeping & Payroll,Glenwood Springs,Colorado
54998671256,ACE Medical Solutions,Palestine,Texas
54998682758,A-Care Chiropractic & Acupucnture,Richardson,Texas
54998688441,100% Chiropractic South Frisco,Frisco,Texas
54998695844,A. M. Webb Counseling,Dallas,Texas
54998777379,Accountable Bookkeeping Services,Colorado Springs,Colorado
55200171599,Balance Therapy and Mental Health Consultation,Dallas,Texas
55200937343,Cardinal Counseling Services,Kerrville,Texas
55201234825,Advanced Relief Chiropractic,Denton,Texas
55201260209,"Atlas Counseling, PLLC",Nashville,Tennessee
55201527395,Advanced Concept Therapy,Dallas,Texas
55202306966,"BQ Plus Medical Co., Ltd.",,
55202325938,Bakhsh Chiropractic Clinic,San Antonio,Texas
55206353170,Better Counseling LLC,Lindale,Texas
55206496113,"Achieve Hearing & Rehabilitation, Inc",Plano,Texas
55206517392,Quimiconsult,Monterrey,Nuevo León
55206644017,Agape Counseling Services,Greater Phoenix Area,
55206821937,"Auxano Counseling & Wellness, Private Practice",Dallas-Fort Worth Metroplex,
55207123375,Advanced Myotherapy,Ashland,Oregon
55207287595,"Amethyst Counseling, LLC",San Antonio,Texas
55207606691,Beyond Educational Staffing and Therapy,Phoenix,Arizona
55207887468,Aesthetic Dentistry/Russell K. Tankersley,Dallas,Texas
55208347685,Ahwatukee Dentistry,Scottsdale,Arizona
55208989592,apn behavioral healthcare,Red Oak,Texas
55209318277,Alethia Counseling Center Boerne,Tyler,Texas
55209318473,"Ball Family Vision Center, P.A.",Lewisville,Texas
55209433426,"Achieving Balance & Growth Counseling, PLLC",Houston,Texas
55209433427,"Achieving Balance Counseling, Texas",San Antonio,Texas
55209433931,Centricity Vision,Greater Seattle Area,
55209740172,Action Potential - Sport and Neurological Rehab,Austin,Texas
55210062998,"Levbeth Medical, S.A. de C.V.",Benito Juárez,Mexico City
55210084354,Atchley Family Chiropractic,Albuquerque,New Mexico
55210239268,Alpha Wellness Center,Grapevine,Texas
55210239290,Arte Counseling and Wellness,San Antonio,Texas
55210366597,Advanced Myotherapy & Neuro Muscular Massage,Mesa,Arizona
55210535067,"Be Mindful Counseling, PLLC",Denver,North Carolina
55210673666,Accelerate Physical Therapy,Arvada,Colorado
55210673790,Hely & Weber Orthopedics,Keller,Texas
55210691878,Campbell Counseling,Houston,Texas
55210691880,"CAPITAL PROSTHETICS & ORTHOTICS, PLLC",Austin,Texas Metropolitan Area
55211324012,Asula Wellness Center,Portland,Oregon
55211475110,Amori Chiropractic,Phoenix,Arizona
55211911857,"Affinity Counseling, PLLC",Scottsdale,Arizona
55212671772,Arrow Vine Counseling PLLC,McKinney,Texas
55212825108,BB Physiotherapy & Wellness,Austin,Texas Metropolitan Area
55213147507,Beyond Words Therapy Clinic,Milan,Tennessee
55213580323,Actual Acupuncture and Chinese Medicine,Austin,Texas
55213606273,"Anchor Point Counseling, PLLC Texas",Dallas-Fort Worth Metroplex,
55214044293,Acupuncture Arts,Knoxville,Tennessee
55214202764,Acupuncture & Rehab Clinic of Austin PLLC,Austin,Texas
55214202768,Adult & Adolescent Recovery Counseling,Mesa,Arizona
55214225550,Calm Mind Behavioral Health Counseling,Austin,Texas
55214359333,ADAGIO Dermatology & Aesthetics,Tyler,Texas
55214840413,Argyle Family Counseling,Argyle,Texas
55215596086,AcclaiMD Wellness,San Antonio,Texas
55215757397,Bayview Dental Center,League City,Texas
55215907861,Medical Dimegar,Azcapotzalco,Mexico City
55216052809,Addison Chiropractic & Kinesiology PLLC,Addison,Texas
55216527033,"ADELLA Counseling & Wellness, PLLC",Houston,Texas
55217014570,Alegria Dental Care,Houston,Texas
55217014603,Aspen Counseling and Wellness,Houston,Texas
55217136533,Alchemy Counseling and Wellness PLLC,Houston,Texas
55217161276,"Bloom Therapy Resources, LLC",Palmer Lake,Colorado
55217316693,Back In Balance Acupuncture & Herbal Medicine,Austin,Texas
55217489690,Calibration Chiropratic,Mansfield,Texas
55217770757,Aesthetic Dentistry of Georgetown,Georgetown,Texas
55218385504,MI Americas (Medical Industries of the Americas),,
55218559628,Calibration Chiropratic + Functional Health,Mansfield,Texas
55219004801,Agave Counseling Services,Peoria,Arizona
55219150103,AIYANA aesthetics,Salem,Oregon
55219334290,Argyle Eye Care,Argyle,Texas
55219334488,Burns Virtual Psychological Solutions,San Antonio,Texas
55219465492,ADVANCED WELLNESS,Greater Phoenix Area,
55219950445,ASK Acupuncture,Portland,Oregon
55220096925,Amistad Counseling Services,San Antonio,Texas
55220097180,Blodgett Dental Care,Portland,Oregon
55221005615,Achor Counseling & Associates,Spring,Texas
55221005622,Acupuncture & Chiropractic Integrative Clinic,Denver Metropolitan Area,
55221028669,Anchored Pediatric Mental Health & Family Coaching,San Antonio,Texas
55221028697,"Beyond Counseling Services, PLLC",Dallas,Texas
55221176498,Bamboo Field NAET & Acupuncture,Austin,Texas
55221314885,Adair Dental Medicine,Memphis,Tennessee
55221802404,Alethia Counseling Center,Boerne,Texas
55222567462,"AME Consulting Engineers, PC",,
55223177800,Aesthetic and Plastic Surgery Center,Chattanooga,Tennessee
55223177812,Ah Dentistry of Arlington,Fort Worth,Texas
55223329868,Alcohol and Addiction Support,Keller,Texas
55223672414,At Ease Massage Therapy,Portland,Oregon
55224110771,"Achieve Wellness, Limited",Sisters,Oregon
55224133975,Baskin Counseling,Jackson,Tennessee
55224572330,Advanced Digital & Cosmetic Dentistry,Seattle,Washington
55225221414,Brittani Persha Counseling: Child and Family Therapy Services,Houston,Texas
55225996302,Alderwood Vision Therapy Center,Lynnwood,Washington
55226130468,"Abundant Life SAP, Coaching, & Consulting, LLC",Coppell,Texas
55226130712,Aesthetic Plastic Surgery,Houston,Texas
55226130734,"Albright Accounting Services, Inc.",Seattle,Washington
55227409409,"Abacus Medical Solutions, LLC",Scottsdale,Arizona
55227434276,Austin Counseling and Nutrition,Austin,Texas
55227593730,Austin Relational Counseling,Austin,Texas
55228812170,Alethia Counseling Austin,Austin,Texas
55229908083,Bloom & Thrive Therapy,San Antonio,Texas
55230211129,"Anne Russey Counseling, PLLC",Houston,Texas
55230362257,Balance Acupuncture and Herbs,San Antonio,Texas
55230968194,Advanced Dental Care of Austin,Cedar Park,Texas
55230968238,"Alamo Wellness Group, LLC",San Antonio,Texas
55231596136,A+ Medical Billing,Rockwall,Texas
55232202567,Achieve Chiropractic Health,Rockwall,Texas
55232389275,Click Medical,Steamboat Springs,Colorado
55232512397,Aegis Wellness Center,Austin,Texas
55232534843,Avalon Field Counseling Services,Tomball,Texas
55232678307,Account Management Services of Houston,Rockwall,Texas
55232702103,"Canvas Counseling & Wellness, PLLC",Richardson,Texas
55232984395,Advanced Medical Inc.,Pflugerville,Texas
55233143704,Addiction Management,Dallas,Texas
55233455404,Acupuncture & Nutrition Clinic (previously Nutrition Health Services),Houston,Texas
55234207780,A&C AUTOMOTIVE CONSULTING,,
55234382688,BCRN Aesthetics,Houston,Texas
55235128337,Acupuncture and Beyond,Santa Fe,New Mexico
55235308719,Althea Somatic Therapy,Brighton,Colorado
55235454240,Alternative Naturopathic Center,Littleton,Colorado
55235586426,Aesthetic Alchemy,Seattle,Washington
55240392567,"ALTMAN PSYCHOLOGICAL SERVICES, PLLC",Arlington,Texas
